sample_id,cell_line_id,drug_id,response,cell_emb_0,cell_emb_1,cell_emb_2,cell_emb_3,cell_emb_4,cell_emb_5,cell_emb_6,cell_emb_7,cell_emb_8,cell_emb_9,cell_emb_10,cell_emb_11,cell_emb_12,cell_emb_13,cell_emb_14,cell_emb_15,cell_emb_16,cell_emb_17,cell_emb_18,cell_emb_19,cell_emb_20,cell_emb_21,cell_emb_22,cell_emb_23,cell_emb_24,cell_emb_25,cell_emb_26,cell_emb_27,cell_emb_28,cell_emb_29,cell_emb_30,cell_emb_31,drug_emb_0,drug_emb_1,drug_emb_2,drug_emb_3,drug_emb_4,drug_emb_5,drug_emb_6,drug_emb_7,drug_emb_8,drug_emb_9,drug_emb_10,drug_emb_11,drug_emb_12,drug_emb_13,drug_emb_14,drug_emb_15,drug_emb_16,drug_emb_17,drug_emb_18,drug_emb_19,drug_emb_20,drug_emb_21,drug_emb_22,drug_emb_23,drug_emb_24,drug_emb_25,drug_emb_26,drug_emb_27,drug_emb_28,drug_emb_29,drug_emb_30,drug_emb_31
TRAIN_0011,HCC1500,P22077,3.43445,-0.643748,-1.192672,0.316422,1.686421,-1.597843,-0.47394,1.248222,1.428623,-0.64181,0.710738,-0.372874,-1.510998,0.615668,-1.723359,-1.396655,1.424996,-2.011361,1.163091,-1.012726,-1.207946,1.379907,-0.428192,-0.22029,-1.198765,-1.279575,0.481445,-1.309627,-0.205482,-0.799833,0.349416,-0.843516,1.951903,0.425315,-1.419809,0.219072,-0.785308,0.018791,-2.864107,-1.676799,0.580026,1.983954,-0.597185,0.255837,-0.037624,-2.077544,-0.584461,-0.158762,0.745398,1.341779,-3.174936,-0.127305,-0.65413,0.042693,0.676995,1.384918,1.981429,-1.290457,-1.009365,0.241491,2.010931,-0.615652,0.713062,-1.13428,-1.947767
TRAIN_0012,EFO21,Sinularin,5.130055,0.71138,0.102659,0.205329,1.03234,-0.610492,-0.945556,2.006794,1.0248,-0.898743,1.502984,-0.500075,-0.51652,0.657506,-3.308545,-1.949906,-0.842876,-1.114769,-0.08604,-2.076843,-1.612966,2.286486,-0.774256,-0.338155,-1.477009,-1.374066,0.980138,-2.098119,0.85706,-1.024208,-0.116007,-1.133484,2.570399,0.380129,-1.312002,0.869918,-1.757268,0.670262,-1.86935,-1.716081,-0.304857,0.150508,0.681486,-0.066841,-0.223237,-2.03547,-1.522422,-0.024655,1.182154,0.831045,-2.129475,0.237562,-0.066322,-0.377351,1.070643,0.98484,1.330184,-0.36724,-0.392022,0.107113,1.742904,-0.853544,0.110812,-1.2444,-2.234686
TRAIN_0013,HCT116,Dactinomycin,-3.644615,0.417962,0.122152,0.535416,1.6371,-0.629541,-0.49187,0.64814,0.917807,0.142668,0.581019,0.288183,-0.894099,0.99211,-0.491683,-0.762104,0.522571,-1.491771,-0.056375,-0.962457,-0.564396,0.435009,0.230852,0.729503,-0.585686,-0.214725,-0.421276,-1.177389,0.870912,-0.003776,-0.210585,-0.603105,0.200439,-0.201461,2.364545,-1.309025,1.910249,0.202311,2.112765,1.004041,-0.597064,-1.057753,-1.078233,-0.376641,-0.415547,2.272195,1.087858,0.891241,-0.84903,-0.288194,2.637349,-0.65593,0.469863,1.105729,-1.32223,0.433104,-0.993045,0.978742,0.962902,0.099163,-1.036169,0.583368,-0.551254,0.918445,1.552493
TRAIN_0014,HCC1954,POMHEX,2.402711,1.041225,-0.53711,0.805538,1.355124,-0.06097,0.443211,1.667769,0.77685,-1.214365,-0.032867,-0.443284,-0.337149,-0.365686,-0.371009,-0.66341,-0.162355,-0.798715,0.152885,-1.224315,-1.125223,1.336804,-0.806956,0.222742,-1.251849,-1.402562,-0.338775,-1.155404,1.253479,-0.216745,-0.908143,-0.252884,0.75292,0.539801,-0.322645,0.810167,-0.792016,-0.795722,-0.537266,-1.032698,-0.610817,-0.346615,0.372996,0.020773,0.263779,-0.291307,-0.51517,-0.230221,0.191751,0.040287,-1.229906,0.332424,0.374559,-0.694841,0.899552,0.493173,0.514742,-1.204948,-1.034518,0.212279,0.807805,-0.53852,0.756459,-0.100833,-0.960514
TRAIN_0015,U87MG,Savolitinib,2.324788,0.735623,-1.32594,0.199647,1.104907,-0.163817,-0.624657,1.484872,0.625587,-0.526671,0.158502,-0.760821,-0.983664,0.420463,-1.536532,-2.028008,0.224834,-1.121855,1.064361,-1.185806,-2.358274,1.596887,-0.090742,0.081506,-1.677953,-0.535721,-0.149994,-1.247306,0.778606,-0.4799,0.027186,-0.68896,1.59298,0.446683,-0.236442,0.884214,-0.261916,0.360314,-1.718579,-1.093851,0.149717,0.346646,0.956652,0.053191,-0.199862,-1.01985,0.898876,-0.944084,0.445465,-0.408147,-1.5639,0.388859,-0.548845,-0.825672,0.573439,0.595481,0.919745,-0.131949,0.084627,0.712501,1.343962,-0.252027,-0.231762,-1.294518,-1.177773
TRAIN_0016,PATU8902,AZD4547,3.43326,1.487821,0.160424,0.905193,2.092329,0.417193,-0.727307,1.901472,0.724872,-1.165835,0.508302,-0.020534,-0.29396,0.622062,-2.298227,-1.876332,-1.097237,-1.410135,0.485504,-0.986716,-1.590422,1.747468,-0.468556,1.662585,-1.312547,-0.468175,0.020882,-1.652238,0.400268,-0.598063,-1.301765,-1.530496,1.977413,0.325771,-0.776673,0.840264,-1.158347,0.417466,-0.847442,-0.72447,0.564382,0.745741,-0.612636,-0.616098,-0.01669,-1.204223,-0.363713,0.464736,1.22011,0.908041,-1.382094,-0.140848,-0.341149,-0.95121,1.275081,1.231108,1.015318,-0.062448,-1.260731,0.56265,0.135628,-0.392132,-0.306382,-0.566124,-0.855765
TRAIN_0017,JURLMK1,GSK2830371,3.100867,-0.518428,0.213111,1.153829,0.725816,0.058966,-0.075041,-0.250445,0.937773,-0.464474,0.436047,-0.938511,-0.747507,0.799514,-0.821821,0.142281,-0.229604,-1.26407,0.552493,-0.602561,-0.129107,0.509129,-0.848046,0.105024,0.615444,0.062071,0.008819,0.147745,0.232611,-0.098714,-0.644631,-0.086918,1.145225,-0.413728,-2.227383,1.501842,-2.438996,-0.060321,-3.706571,-2.232893,0.797032,1.973086,-0.079888,0.884124,-0.999725,-1.900495,-1.549909,-1.196359,1.373809,0.541376,-2.622259,0.870266,-1.108083,-1.612991,0.552067,1.64736,1.43324,-1.861333,-0.375965,1.678476,1.359078,-1.008271,-0.026847,-2.106887,-1.641449
TRAIN_0018,SW982,AT13148,2.381419,0.794548,0.511649,0.115221,1.425841,-0.535963,0.958336,0.720698,1.031649,0.104641,0.524687,-0.648433,-0.390423,-0.913284,-1.180717,-0.990831,-0.313224,-2.171089,-0.420461,-0.987656,-0.808556,1.135103,-0.237684,0.363256,-1.475916,-0.062757,0.312329,-0.589024,0.162863,0.509481,0.049481,-0.89078,1.375857,0.189418,-1.592353,0.725207,-2.103474,0.132005,-2.305007,-1.309178,-0.095581,0.852748,0.021528,-0.292769,-0.290528,-1.603634,-0.410035,-0.566252,0.98612,0.287,-2.293721,0.175994,0.592634,-1.199819,0.53249,0.938627,0.899261,-1.087352,-0.199995,-0.491253,1.59005,-0.209997,-0.825349,-2.349653,-1.802358
TRAIN_0019,IALM,Buparlisib,3.212063,1.404314,-0.327173,1.441073,1.126888,0.011559,-0.649758,1.19018,1.031529,-0.059453,0.229549,-1.306418,-0.605611,0.24706,-2.025118,-1.598116,-0.705435,-0.289414,0.489763,-1.264428,-2.503014,1.630008,-0.439519,0.561304,-1.480944,-1.243894,0.219428,-1.047437,1.215509,-0.278063,0.029881,-0.693056,2.420124,-0.08547,0.307882,0.542348,-0.976333,-0.432765,-1.000466,-0.277662,0.249551,-0.157462,-0.52232,0.099434,-0.19861,0.549861,-0.239128,0.742393,-0.207145,-0.663722,-1.190538,0.710463,0.740338,-0.63317,-0.011536,-0.215786,-0.572777,0.059086,0.00093,0.12371,-0.351155,0.648617,-0.318073,-0.128833,-1.155066
TRAIN_0020,IGR1,Uprosertib,1.545646,1.056365,-0.786531,0.38808,0.93713,-0.013888,0.411661,1.073747,-0.528301,-0.614053,0.928186,-0.133865,-0.190596,0.070253,-2.302032,-1.241195,-0.905732,0.211964,0.558314,-1.079338,-1.532893,1.227082,-0.315936,0.617095,-1.144806,-0.838849,1.041605,-0.975485,0.710877,-0.826029,-0.071905,-0.367289,0.664685,-0.484458,-0.113664,1.309084,-0.393676,0.243803,-1.573191,-1.750486,0.668881,0.831331,0.432499,0.743707,-0.564513,-1.347279,-0.461904,-0.867817,0.824391,0.544933,-1.694045,0.935986,-1.089935,-0.026572,0.86188,0.611087,0.346683,-1.769065,-0.666162,0.811316,0.819292,0.165291,-0.471194,-0.607383,-1.397745
TRAIN_0021,AU565,JQ1,4.07431,0.239136,-0.553604,0.179222,1.477268,0.081408,-0.657816,1.189801,0.929754,-1.173646,0.663389,-0.665883,-0.050941,-0.206942,-2.28376,-2.0591,-0.381909,-0.601366,-0.225283,-0.336264,-1.850392,1.025106,-0.76851,-0.277165,-1.004917,-0.823231,-0.112196,-0.327829,-0.017206,-0.015793,-0.775446,-0.169508,2.058062,-0.334863,0.48765,0.8136,-0.436563,0.718969,-1.234859,-0.444381,0.483938,0.738071,-0.052274,0.012652,-0.485228,-0.931702,-1.04098,-0.687583,0.529579,-0.25383,-1.371143,0.123666,-0.0432,0.045127,0.156211,1.321713,1.060195,-0.280429,-0.119368,0.369744,1.212501,0.307758,0.549674,-0.681297,-0.481499
TRAIN_0022,HCC1500,Erlotinib,2.894074,-0.643748,-1.192672,0.316422,1.686421,-1.597843,-0.47394,1.248222,1.428623,-0.64181,0.710738,-0.372874,-1.510998,0.615668,-1.723359,-1.396655,1.424996,-2.011361,1.163091,-1.012726,-1.207946,1.379907,-0.428192,-0.22029,-1.198765,-1.279575,0.481445,-1.309627,-0.205482,-0.799833,0.349416,-0.843516,1.951903,0.219222,-1.150448,1.572434,-0.257218,0.192703,-0.886187,-0.22946,0.203358,1.859248,0.128968,-0.20487,0.178798,-1.424799,-0.564894,0.315928,0.901843,-0.557488,-1.304383,-0.074613,0.107618,-0.223242,1.251968,1.323951,1.331142,-1.042866,0.141012,1.263819,0.479056,0.495436,-0.431375,-1.359756,-0.861523
TRAIN_0023,MDST8,AZD3759,2.628286,0.396073,-0.117594,0.355441,1.027675,0.356733,-0.2499,0.75623,0.366426,-0.020474,1.064443,-0.620218,-0.258207,0.329026,-1.760254,-1.129319,-1.104299,-1.553629,0.390974,-0.791803,-0.831866,0.9593,-0.637354,0.021984,-1.557778,0.335852,-0.604707,-0.85827,-0.272939,-0.111588,-0.358417,-0.656837,1.650266,-0.072685,-0.864889,1.294764,-1.309489,0.03204,-2.697501,-0.169229,-0.38159,0.739807,0.083044,-0.139261,0.169928,-0.318313,-0.436071,-0.031976,0.989499,0.77695,-1.60746,0.790633,0.254704,0.01295,0.147322,0.720497,0.846571,-1.340406,0.556129,0.252403,0.903349,-0.662484,-0.80834,-1.165477,-0.824003
TRAIN_0024,KMRC20,L-Oxonoreleagnine,4.515177,0.701364,-0.655942,1.012815,0.932914,0.128957,0.335504,1.897128,0.838275,-0.55159,0.215595,0.305202,-0.78221,-0.293854,-1.44393,-1.999775,-0.997155,-1.662286,0.050346,-0.884521,-1.189877,1.83661,0.0538,-0.032731,-1.422076,-0.250419,0.739284,-1.005621,0.114296,-1.054168,-0.993461,-0.225592,2.008959,0.645156,-2.017645,1.687647,-1.524242,-0.335219,-2.366785,-1.881588,0.445744,0.521209,-0.759667,-0.242656,-1.022927,-1.59021,-1.417525,-0.77127,1.301314,0.287089,-1.892824,0.711102,-1.019746,-0.807028,-0.964605,1.303786,0.91557,-1.452324,-0.196076,0.965525,0.878635,-1.020887,-0.129999,-1.934154,-1.699412
TRAIN_0025,NCIH1755,SB216763,4.421537,-0.580116,-0.852515,0.523201,0.96128,0.806442,0.727385,0.84461,0.899904,-0.005457,0.140531,-1.122966,-0.383216,0.109476,-1.766923,-1.175379,-0.830607,-1.396013,0.308964,-0.542174,-1.73176,1.650672,-1.068035,-0.234384,-1.282517,-0.758858,-0.192724,0.003663,-0.121267,0.734318,-0.017599,-0.441129,1.737772,-0.092938,-2.367027,2.406214,-2.091584,0.138745,-2.994548,-1.218692,-0.531023,1.29655,1.312491,-0.117073,-1.090059,-2.628806,-1.0259,-0.05728,1.488819,0.952418,-3.483664,-0.213414,-0.845544,-0.342988,0.994077,1.762409,1.600097,-0.762019,-0.790224,0.863852,1.115061,0.239875,-0.69147,-2.17689,-1.601857
TRAIN_0026,HDLM2,Sabutoclax,2.381914,-0.13587,0.84449,-0.119228,1.319862,0.315369,-0.815801,1.362671,1.086281,-0.371395,1.870636,-1.207072,0.154732,0.108233,-1.153079,-1.166867,-0.818881,-0.700221,-0.676171,-0.428789,-0.986975,1.498295,0.347445,0.238129,-1.07202,-0.878435,-0.266884,-0.33249,1.020378,-0.602208,-0.211636,-0.936319,2.076347,0.342456,-0.313155,0.244849,0.210585,0.242432,-0.17826,0.175224,-0.424909,-1.135379,0.484808,-0.741514,0.078797,0.290259,0.223535,-0.102982,0.04712,0.206721,0.515056,0.839594,0.14933,0.088686,-0.504564,0.131674,0.25574,-0.025906,0.298189,-0.173986,0.253839,0.49641,0.464854,0.151527,-0.419857
TRAIN_0027,NCIH2291,Afuresertib,2.799315,1.107632,-0.964094,0.890081,2.111124,-0.326436,-0.685247,2.463034,0.748395,-1.323802,-0.353048,0.056714,-0.268242,0.343536,-2.588779,-2.399948,-1.23398,-1.469613,-0.671005,-1.492166,-1.903901,2.119414,-0.299474,0.481061,-1.089271,-0.144861,0.372577,-1.418999,-0.02528,-0.373619,0.478757,-0.57386,3.25175,-0.279753,-0.700113,1.253788,-0.993059,-0.322097,-2.227836,-1.598455,0.578607,0.388905,-0.176309,-0.443994,-0.181416,-1.219343,-0.671933,0.332073,1.555217,-0.549453,-1.147422,-0.147401,-0.410521,-0.348805,0.34856,0.882011,1.029102,-0.476859,-0.553387,-0.068231,0.005686,-0.783334,0.842955,-1.218812,-1.486339
TRAIN_0028,DMS53,GSK1904529A,3.964845,0.587347,0.080951,0.110711,2.24783,-0.28642,-0.227684,1.953367,0.893785,0.001134,0.693009,-0.775519,-0.29089,-0.326829,-1.883288,-1.763429,-0.673484,-1.089957,-0.622688,-1.193913,-1.383809,1.564182,-0.74248,0.701239,-1.875922,-0.066565,0.325928,-1.488718,1.268123,-1.205082,0.164181,-0.109054,1.540481,-0.308962,-1.628104,1.439522,-1.13297,0.22687,-2.629038,-1.522252,0.544029,1.563544,-0.415828,-0.142745,-0.931736,-1.978431,-1.06392,-0.631826,0.996467,-0.289764,-3.375995,0.362488,-0.724151,-1.232106,1.469229,0.932115,1.938533,-0.29659,-1.383885,0.483752,1.088737,-2.088837,-0.967555,-1.073875,-0.570454
TRAIN_0029,NCIH226,RO-3306,6.942467,0.907178,0.186648,0.88733,2.010256,-0.669886,-0.367657,1.956188,0.957867,-0.997045,1.916307,-2.11636,-0.822902,1.243713,-2.950718,-2.338436,-0.835168,-1.927936,-0.62631,-1.326567,-2.610871,1.906869,-0.604882,0.978725,-1.040237,-0.748293,-0.057783,-2.40036,0.825646,-0.053996,-0.582817,-2.136627,3.250644,0.193772,-2.179067,0.6347,-1.36296,-0.185541,-2.489959,-1.317448,0.720044,0.328771,-0.100026,-0.492167,-1.540143,-1.546873,-0.320261,0.004312,0.72127,-0.249878,-1.918233,0.769234,-0.343914,-0.596004,1.240183,0.758503,0.908978,-0.10093,-0.436731,-0.271216,0.732717,-0.99338,-0.024558,-1.658473,-1.173316
TRAIN_0030,HDLM2,OSI-027,2.693752,-0.13587,0.84449,-0.119228,1.319862,0.315369,-0.815801,1.362671,1.086281,-0.371395,1.870636,-1.207072,0.154732,0.108233,-1.153079,-1.166867,-0.818881,-0.700221,-0.676171,-0.428789,-0.986975,1.498295,0.347445,0.238129,-1.07202,-0.878435,-0.266884,-0.33249,1.020378,-0.602208,-0.211636,-0.936319,2.076347,-0.204074,-0.384008,1.908354,-1.136516,0.564545,-1.909016,-1.097388,0.169114,0.482093,1.365854,-0.243961,0.05737,-2.124158,-0.348337,0.209901,0.564952,-0.985725,-1.401493,0.262663,0.060145,0.474766,0.289508,0.380127,0.146635,-0.558881,-0.002736,-0.013128,1.154138,-0.142965,-0.123935,-1.318539,-1.17872
TRAIN_0031,HCC78,Sinularin,3.727766,0.875619,-0.621881,0.758111,1.092186,0.234897,-1.252089,1.221685,0.316358,-0.161785,0.671771,-0.726854,-0.730989,0.139442,-1.988471,-0.96753,-0.637233,-2.268801,0.065551,-1.250212,-1.952512,0.561102,-0.127041,0.718679,-0.990299,-0.741468,0.317242,-1.15607,-0.044871,-1.060683,-1.110722,-0.679323,1.570071,0.380129,-1.312002,0.869918,-1.757268,0.670262,-1.86935,-1.716081,-0.304857,0.150508,0.681486,-0.066841,-0.223237,-2.03547,-1.522422,-0.024655,1.182154,0.831045,-2.129475,0.237562,-0.066322,-0.377351,1.070643,0.98484,1.330184,-0.36724,-0.392022,0.107113,1.742904,-0.853544,0.110812,-1.2444,-2.234686
TRAIN_0032,DMS79,AZD2014,2.699452,1.136194,-0.24749,0.718032,1.479174,-0.274554,0.198019,1.795521,-0.194516,0.236337,-0.350677,0.105804,0.150836,-0.331167,-1.900082,-2.080686,-0.605503,-1.051125,0.668173,-0.149121,-0.553096,1.017104,-0.304591,-0.781906,-1.664896,0.000243,0.90604,-1.636659,0.03654,-0.545214,-0.118285,-0.937759,1.852673,0.578593,-1.630197,0.373241,-0.818065,0.144346,-1.189456,-0.562112,0.110851,0.298204,-0.091888,-0.381279,0.197145,-1.288769,-0.046687,-0.291307,0.429695,0.533593,-1.515027,0.530725,-0.145103,-0.740206,0.663754,0.946558,1.186904,-0.064952,0.043715,-0.347474,1.861344,-1.014718,0.353393,-0.506817,-1.368218
TRAIN_0033,PANC0203,Ruxolitinib,7.547894,0.509838,-0.63311,-0.47377,1.753673,-0.149507,-0.545552,0.785323,1.089932,-0.607101,0.82639,0.464001,-1.541074,-0.105433,-2.036985,-1.014649,-1.386078,-0.054967,0.385299,-0.96505,-1.525371,1.262085,0.296038,-0.466061,-1.266202,-0.741884,-0.269042,0.130554,0.588958,-0.299976,0.274295,-1.318362,2.746834,-0.730951,-0.311658,1.924286,-0.693945,0.335053,-2.5754,-2.161819,0.727832,0.466459,-1.022261,-0.563586,-1.165745,-1.411808,-0.139302,-1.371545,2.183629,0.975546,-3.349542,0.276304,-0.850252,-0.610705,0.275402,1.450335,1.011744,-0.98412,-0.5582,0.214258,1.312455,0.320978,-0.478524,-2.129862,-1.448377
