sample_id,cell_line_id,drug_id,response
TRAIN_0039,NCIH1355,YK-4-279,2.839626
TRAIN_0040,SNU175,MN-64,5.124453
TRAIN_0041,NCIH520,P22077,6.110893
TRAIN_0042,COLO792,SGC-CBP30,4.459499
TRAIN_0043,IGR37,Wnt-C59,3.523213
TRAIN_0044,SCC15,GW441756,3.59072
TRAIN_0045,DB,Serdemetan,2.560023
TRAIN_0046,CORL88,MG-132,-0.361328
TRAIN_0047,SUIT2,AZD6738,2.547333
TRAIN_0048,GDM1,Tamoxifen,1.919549
TRAIN_0049,NCIH2023,GSK-LSD1,1.732795
TRAIN_0050,CAL27,MK-8776,4.261817
TRAIN_0051,T84,AZD5438,2.504582
TRAIN_0052,SCC25,Tanespimycin,-0.191571
TRAIN_0053,SKLU1,Fulvestrant,6.416716
TRAIN_0054,CALU6,Romidepsin,-5.708989
TRAIN_0055,KYSE410,MK-1775,1.171132
TRAIN_0056,OCIAML3,BI-2536,-4.763888
TRAIN_0057,HCC202,Vorinostat,1.003058
TRAIN_0058,ECC10,Cediranib,1.459399
TRAIN_0059,MFE296,MK-1775,2.492293
TRAIN_0060,NCIH2066,Trametinib,2.575793
TRAIN_0061,T24,BMS-345541,2.976661
TRAIN_0062,GIMEN,CPI-637,4.690179
TRAIN_0063,SKMEL24,Epirubicin,-0.571279
TRAIN_0064,HCC1599,GSK1904529A,5.084032
TRAIN_0065,PA1,Dactinomycin,-6.033555
TRAIN_0066,JHOS2,Talazoparib,0.826004
TRAIN_0067,SKNFI,ICL-SIRT078,4.542952
TRAIN_0068,SKOV3,AZD5991,7.021677
TRAIN_0069,UACC257,A-366,4.460594
TRAIN_0070,HDLM2,Luminespib,-2.664467
TRAIN_0071,TC71,MIRA-1,5.077394
TRAIN_0072,HUPT4,XAV939,4.262419
TRAIN_0073,RCM1,Pictilisib,1.895327
TRAIN_0074,GB1,Vinorelbine,-0.048932
TRAIN_0075,SCC25,Dinaciclib,-3.240169
TRAIN_0076,MC116,Piperlongumine,1.357092
TRAIN_0077,SKNSH,JNK Inhibitor VIII,4.811781
TRAIN_0078,NCIH3122,MG-132,-0.103703
TRAIN_0079,TE11,Cyclophosphamide,5.037996
TRAIN_0080,NCIH358,Dactinomycin,-4.940013
TRAIN_0081,BT474,Vismodegib,6.613649
TRAIN_0082,CHP126,Pictilisib,2.632392
TRAIN_0083,SW837,Zoledronate,4.453049
TRAIN_0084,KMS11,Dinaciclib,-4.696966
TRAIN_0085,KM12,GSK-LSD1,2.151495
TRAIN_0086,HS940T,Pictilisib,2.409857
TRAIN_0087,LS1034,AZ960,5.665826
TRAIN_0088,OACM51,SN-38,-3.69351
TRAIN_0089,KALS1,Tanespimycin,-0.043086
TRAIN_0090,LAMA84,VE821,1.446517
TRAIN_0091,DB,AZD2014,2.275689
TRAIN_0092,SW982,Fulvestrant,5.721429
TRAIN_0093,ESS1,GSK343,3.631944
TRAIN_0094,HUH7,Savolitinib,3.170161
TRAIN_0095,ST486,SN-38,-4.422722
TRAIN_0096,RVH421,Nilotinib,5.579733
TRAIN_0097,DEL,Savolitinib,1.006436
TRAIN_0098,SKOV3,N-acetyl cysteine,10.61028
TRAIN_0099,HCC70,AZ960,3.770555
TRAIN_0100,LAMA84,L-Oxonoreleagnine,2.93379
TRAIN_0101,SKMM2,OF-1,0.986099
TRAIN_0102,OV17R,SGC0946,2.626678
TRAIN_0103,OV56,Gemcitabine,-0.952177
TRAIN_0104,OVCAR4,Rapamycin,-1.363411
TRAIN_0105,HS746T,NU7441,3.887325
TRAIN_0106,ME1,Leflunomide,5.241291
TRAIN_0107,OE33,Selumetinib,4.211615
TRAIN_0108,SW1116,AZD2014,3.944612
TRAIN_0109,HCC2157,RVX-208,3.657078
TRAIN_0110,RERFLCSQ1,Serdemetan,3.168157
TRAIN_0111,HCC1599,Axitinib,3.280754
TRAIN_0112,C32,Lapatinib,5.468428
TRAIN_0113,RH41,Dasatinib,2.142082
TRAIN_0114,EM2,alpha-lipoic acid,4.181479
TRAIN_0115,NCIH1648,Veliparib,5.1937
TRAIN_0116,KYSE180,Irinotecan,3.098458
TRAIN_0117,SUDHL4,PF-4708671,2.819638
TRAIN_0118,PANC0203,AZD3759,2.822703
TRAIN_0119,C2BBE1,Entospletinib,2.875851
TRAIN_0120,K562,Oxaliplatin,5.337569
TRAIN_0121,NCIH2405,NVP-ADW742,7.699938
TRAIN_0122,SKCO1,Pyridostatin,3.072331
TRAIN_0123,MEWO,LGK974,6.343409
TRAIN_0124,HCC2157,AGI-6780,4.520808
TRAIN_0125,BEN,XAV939,3.914816
TRAIN_0126,NCIH2029,MN-64,5.054591
TRAIN_0127,KP4,AZD5363,3.000268
TRAIN_0128,NCIH1666,LGK974,4.857205
TRAIN_0129,HCC1143,Tozasertib,3.207134
TRAIN_0130,PF382,I-BET-762,1.970587
TRAIN_0131,KCL22,Luminespib,-3.701351
TRAIN_0132,BV173,SN-38,-7.07646
TRAIN_0133,G402,RVX-208,4.632054
TRAIN_0134,SKCO1,LJI308,5.690884
TRAIN_0135,JHH1,AZD5582,2.534383
TRAIN_0136,OACM51,Ipatasertib,1.49585
TRAIN_0137,TYKNU,Cyclophosphamide,6.312492
TRAIN_0138,CCK81,PD173074,4.581241
TRAIN_0139,EFM19,SB590885,4.037865
TRAIN_0140,SKMEL30,AZ960,3.31948
TRAIN_0141,SW780,Tamoxifen,4.52197
TRAIN_0142,SKES1,AZD4547,0.328116
TRAIN_0143,NCIH520,Teniposide,2.115886
TRAIN_0144,CCK81,GSK343,2.48471
TRAIN_0145,ESO26,Cytarabine,0.060587
TRAIN_0146,LP1,Schweinfurthin A,-1.133026
TRAIN_0147,NCIH446,Sapitinib,5.286077
TRAIN_0148,MEG01,LMP744,-1.681206
TRAIN_0149,GDM1,P22077,3.246747
TRAIN_0150,CAS1,Fulvestrant,4.044964
TRAIN_0151,TE4,AZD6738,1.954735
TRAIN_0152,SW837,Dinaciclib,-0.577489
TRAIN_0153,SUDHL4,Paclitaxel,-4.96616
TRAIN_0154,FLO1,AGI-5198,4.515749
TRAIN_0155,NCIH522,Venetoclax,2.901927
TRAIN_0156,AM38,Entospletinib,2.970368
TRAIN_0157,SKMM2,SB590885,5.084904
TRAIN_0158,SNU81,Schweinfurthin A,2.991168
TRAIN_0159,OCIAML2,Pictilisib,1.587021
TRAIN_0160,CHP126,WIKI4,2.627742
TRAIN_0161,HDLM2,KU-55933,2.739304
TRAIN_0162,NCIH596,5-Fluorouracil,4.649583
TRAIN_0163,PL21,PCI-34051,3.014248
TRAIN_0164,BICR22,Mitoxantrone,-2.694619
TRAIN_0165,KARPAS299,Uprosertib,4.679285
TRAIN_0166,SKCO1,GSK1904529A,4.914366
TRAIN_0167,NCIH1694,Bleomycin,3.508241
TRAIN_0168,ZR7530,Telomerase Inhibitor IX,3.050474
TRAIN_0169,PANC0327,EHT-1864,3.174791
TRAIN_0170,KP4,Rapamycin,-1.197739
TRAIN_0171,OCIAML3,Podophyllotoxin bromide,-2.25612
TRAIN_0172,MFE296,Acetalax,0.740342
TRAIN_0173,T24,Sepantronium bromide,-2.787616
TRAIN_0174,KU812,Sinularin,1.594448
TRAIN_0175,JHH6,Mitoxantrone,0.685652
TRAIN_0176,PF382,UNC0379,2.345126
TRAIN_0177,BXPC3,AZD3759,1.685169
TRAIN_0178,RAJI,AMG-319,3.550582
TRAIN_0179,HS766T,5-Fluorouracil,7.700188
TRAIN_0180,KYSE180,Pevonedistat,0.233863
TRAIN_0181,JHOS2,GSK2606414,3.584512
TRAIN_0182,EKVX,Docetaxel,1.64911
TRAIN_0183,SKPNDW,GNE-317,-0.180839
TRAIN_0184,NOMO1,GSK2606414,3.113165
TRAIN_0185,NCIH1734,PCI-34051,4.505257
TRAIN_0186,C32,ICL-SIRT078,6.44983
TRAIN_0187,MHHCALL2,AZ960,1.208699
TRAIN_0188,NCIH2347,Pevonedistat,4.228881
TRAIN_0189,NCIH226,AT13148,6.751164
TRAIN_0190,MHHNB11,Vorinostat,0.405494
TRAIN_0191,SU8686,RO-3306,6.84637
TRAIN_0192,PC14,Vismodegib,5.22742
TRAIN_0193,PSN1,Leflunomide,6.076066
TRAIN_0194,NCIH1573,Dabrafenib,4.931875
TRAIN_0195,RERFLCMS,Entinostat,1.77585
TRAIN_0196,KLE,GSK1904529A,4.909801
TRAIN_0197,SW982,Vinblastine,-5.422953
TRAIN_0198,BICR78,SN-38,-3.7101
TRAIN_0199,SNU81,LMP744,3.549024
TRAIN_0200,AGS,Alpelisib,0.90382
TRAIN_0201,LCLC103H,JNK Inhibitor VIII,4.899543
TRAIN_0202,A172,Nilotinib,3.76172
TRAIN_0203,SKUT1,Camptothecin,-3.264142
TRAIN_0204,U2OS,Temsirolimus,2.380467
TRAIN_0205,DB,Doramapimod,5.266798
TRAIN_0206,A704,Ibrutinib,4.51156
TRAIN_0207,NCIH1869,Dactolisib,-0.43285
TRAIN_0208,AMO1,Alisertib,-2.865128
TRAIN_0209,NCIH146,VX-11e,3.584749
TRAIN_0210,GIMEN,Dinaciclib,-0.904452
TRAIN_0211,EKVX,Mitoxantrone,3.972574
TRAIN_0212,SKOV3,Ulixertinib,5.226551
TRAIN_0213,NCIH211,VE-822,2.050963
TRAIN_0214,HCC15,Bortezomib,-4.667757
TRAIN_0215,HL60,NVP-ADW742,0.25902
TRAIN_0216,NCIH2291,VE-822,7.084242
TRAIN_0217,NCIH1792,VX-11e,1.133082
TRAIN_0218,KU812,SGC-CBP30,3.252919
TRAIN_0219,BICR31,Venetoclax,1.841315
TRAIN_0220,HT1197,OTX015,-0.040661
TRAIN_0221,SNU398,BIBR-1532,5.376597
TRAIN_0222,HEL,AMG-319,4.366907
TRAIN_0223,OCIAML5,LGK974,3.115095
TRAIN_0224,A3KAW,EPZ5676,3.996015
TRAIN_0225,EJM,Uprosertib,1.83366
TRAIN_0226,SNGM,Epirubicin,-1.737209
TRAIN_0227,KYSE270,WIKI4,3.78079
TRAIN_0228,NCIH146,Lestaurtinib,-0.023947
TRAIN_0229,NCIH526,Docetaxel,-5.035141
TRAIN_0230,UACC812,ABT737,4.409382
TRAIN_0231,RKO,Ulixertinib,1.003736
TRAIN_0232,NCIH526,OTX015,-2.408945
TRAIN_0233,OVCAR4,PLX-4720,5.594197
TRAIN_0234,JVM2,Vinblastine,-5.302479
TRAIN_0235,J82,Wee1 Inhibitor,5.43418
TRAIN_0236,MKN45,Gefitinib,4.692637
TRAIN_0237,MELJUSO,Erlotinib,4.174587
TRAIN_0238,HCC1954,Dactolisib,-0.545922
TRAIN_0239,KCL22,BEN,2.767493
TRAIN_0240,BT474,Dabrafenib ,6.135615
TRAIN_0241,SKM1,Taselisib,-0.156775
TRAIN_0242,LP1,AT13148,2.699387
TRAIN_0243,EJM,ML323,3.531612
TRAIN_0244,CALU6,Ipatasertib,5.5263
TRAIN_0245,NCIH1792,Wnt-C59,4.126374
TRAIN_0246,HS683,Ipatasertib,3.368944
TRAIN_0247,HT1080,Pevonedistat,0.068575
TRAIN_0248,HUPT3,AZD5363,4.521165
TRAIN_0249,RCC10RGB,Schweinfurthin A,2.007659
TRAIN_0250,NCIH1623,Gemcitabine,-2.948538
TRAIN_0251,UACC812,Oxaliplatin,4.295673
TRAIN_0252,L540,Podophyllotoxin bromide,-2.611048
TRAIN_0253,NCIH520,Ibrutinib,4.699298
TRAIN_0254,ME1,UMI-77,2.97328
TRAIN_0255,HPAC,Pevonedistat,1.369456
TRAIN_0256,D283MED,YK-4-279,0.046085
TRAIN_0257,TE441T,SCH772984,4.007446
TRAIN_0258,ALLSIL,glutathione,8.675802
TRAIN_0259,NCIH2087,PFI3,6.358637
TRAIN_0260,CAL78,Ruxolitinib,5.785754
TRAIN_0261,EPLC272H,5-azacytidine,4.068088
TRAIN_0262,HCC1806,I-BET-762,2.915293
TRAIN_0263,REH,Venetoclax,-2.743805
TRAIN_0264,PANC0813,UMI-77,4.229503
TRAIN_0265,ME1,Lestaurtinib,0.996352
TRAIN_0266,NCIH226,LJI308,7.955898
TRAIN_0267,CAPAN1,AZD1208,6.065802
TRAIN_0268,A172,Cediranib,0.549915
TRAIN_0269,HDQP1,Osimertinib,-1.239623
TRAIN_0270,OCIAML5,Topotecan,-1.385501
TRAIN_0271,G361,EPZ004777,5.109057
TRAIN_0272,CORL95,glutathione,9.849241
TRAIN_0273,SKMEL3,GSK591,3.300169
TRAIN_0274,HCC1954,Venetoclax,1.971214
TRAIN_0275,SKM1,Dacarbazine,5.333308
TRAIN_0276,A673,PD0325901,2.116752
TRAIN_0277,QGP1,Cediranib,4.387369
TRAIN_0278,RT112,Sapitinib,4.524815
TRAIN_0279,BFTC909,Navitoclax,1.050309
TRAIN_0280,CAS1,Entospletinib,4.99151
TRAIN_0281,NCIH1105,Savolitinib,3.693
TRAIN_0282,KMH2,SCH772984,2.593272
TRAIN_0283,HCC1428,Savolitinib,3.188743
TRAIN_0284,SU8686,Motesanib,6.701445
TRAIN_0285,CHAGOK1,EPZ004777,4.022883
TRAIN_0286,LOXIMVI,Dabrafenib,1.33831
TRAIN_0287,JVM3,Uprosertib,1.49548
TRAIN_0288,KYSE180,Schweinfurthin A,0.595156
TRAIN_0289,GA10,MN-64,4.905454
TRAIN_0290,SW626,AZD6738,2.619811
TRAIN_0291,KE37,Pictilisib,0.829048
TRAIN_0292,KE37,IWP-2,1.886844
TRAIN_0293,MKN7,GW441756,4.647996
TRAIN_0294,TYKNU,Schweinfurthin A,0.633224
TRAIN_0295,RERFLCKJ,YK-4-279,2.238128
TRAIN_0296,QGP1,Tretinoin,6.356605
TRAIN_0297,NCIH1623,WZ4003,4.582389
TRAIN_0298,COLO668,BMS-345541,3.91883
TRAIN_0299,MFE280,glutathione,10.384747
TRAIN_0300,KYSE180,AZD7762,-1.012914
TRAIN_0301,COLO680N,RVX-208,6.32914
TRAIN_0302,NCIH1963,WZ4003,4.817159
TRAIN_0303,KARPAS422,glutathione,9.524765
TRAIN_0304,HT1080,Selumetinib,4.388502
TRAIN_0305,MESSA,Dabrafenib,5.251605
TRAIN_0306,UMUC3,Docetaxel,-4.119967
TRAIN_0307,KURAMOCHI,Nelarabine,7.219176
TRAIN_0308,NCIH2066,Afatinib,2.808549
TRAIN_0309,PANC0327,AZ6102,2.693361
TRAIN_0310,NCIH1092,EPZ5676,5.862957
TRAIN_0311,MCF7,Uprosertib,1.706687
TRAIN_0312,HEL,KU-55933,4.135653
TRAIN_0313,LP1,Axitinib,3.446022
TRAIN_0314,LOUCY,JNK Inhibitor VIII,5.148155
TRAIN_0315,KASUMI1,Motesanib,-0.972055
TRAIN_0316,SKNSH,CPI-637,5.158297
TRAIN_0317,NCIH2087,Podophyllotoxin bromide,1.087762
TRAIN_0318,LCLC97TM1,JNK Inhibitor VIII,4.641212
TRAIN_0319,PANC0403,Motesanib,8.413592
TRAIN_0320,SKES1,CPI-637,2.687037
TRAIN_0321,EFO21,Bleomycin,4.196989
TRAIN_0322,DOHH2,Gefitinib,1.72025
TRAIN_0323,SKNAS,CCT007093,5.55678
TRAIN_0324,SKHEP1,Gemcitabine,1.135378
TRAIN_0325,CAS1,Temozolomide,7.86968
TRAIN_0326,PANC0813,Avagacestat,5.943888
TRAIN_0327,OAW42,SCH772984,5.058467
TRAIN_0328,T47D,Tozasertib,3.803311
TRAIN_0329,CHAGOK1,SB590885,4.820115
TRAIN_0330,NCIH1435,Ruxolitinib,4.553895
TRAIN_0331,LXF289,GSK2830371,5.195808
TRAIN_0332,NCIH2009,alpha-lipoic acid,8.137108
TRAIN_0333,SKHEP1,GSK343,3.093327
TRAIN_0334,NCIH209,Epirubicin,-2.785133
TRAIN_0335,MM1S,SGC0946,1.443477
TRAIN_0336,RH41,UNC0379,1.74753
TRAIN_0337,NCIH1755,Obatoclax Mesylate,0.637141
TRAIN_0338,HPAFII,Entospletinib,4.864927
TRAIN_0339,NCIH1755,Venetoclax,2.762369
TRAIN_0340,HCC1187,AZD5153,2.308804
TRAIN_0341,MDST8,Cytarabine,-0.790921
TRAIN_0342,ESS1,Schweinfurthin A,-0.94497
TRAIN_0343,NCIH1573,Uprosertib,5.839128
TRAIN_0344,NCIH1341,Ulixertinib,3.45766
TRAIN_0345,EN,Docetaxel,-3.888927
TRAIN_0346,SKMES1,GW441756 ,2.589749
TRAIN_0347,NCIH69,glutathione,9.090859
TRAIN_0348,MDAMB361,Tanespimycin,-3.11997
TRAIN_0349,RL,SL0101,4.888165
TRAIN_0350,KPNYN,alpha-lipoic acid,8.440275
TRAIN_0351,HOP62,Uprosertib,4.237926
TRAIN_0352,HEP3B217,Foretinib,-0.673706
TRAIN_0353,KYM1,Dactinomycin,-7.140523
TRAIN_0354,RERFLCSQ1,LGK974,5.077499
TRAIN_0355,A498,Sapitinib,5.422767
TRAIN_0356,DU4475,AZD5991,2.612133
TRAIN_0357,COLO792,YK-4-279,1.879342
TRAIN_0358,NCIH1915,Staurosporine,-3.412117
TRAIN_0359,YH13,Obatoclax Mesylate,0.627395
TRAIN_0360,U87MG,Alpelisib,3.698816
TRAIN_0361,A172,Leflunomide,4.497743
TRAIN_0362,KP3,Camptothecin,0.828222
TRAIN_0363,MDAMB436,GSK2801,6.15348
TRAIN_0364,NCIH2227,ML323,7.017476
TRAIN_0365,EKVX,SCH772984,1.835754
TRAIN_0366,TE441T,GSK343,2.59841
TRAIN_0367,KP3,Bleomycin,3.766463
TRAIN_0368,KYSE270,Navitoclax,4.54486
TRAIN_0369,NCIH226,Alisertib,4.616598
TRAIN_0370,TE4,AMG-319,4.951352
TRAIN_0371,HCC70,GSK2110183B,1.139811
TRAIN_0372,GRANTA519,Dactinomycin,-3.35058
TRAIN_0373,NCIH2170,IWP-2,3.277572
TRAIN_0374,SNU81,Bortezomib,-4.303449
TRAIN_0375,H4,AZ960,-0.224574
TRAIN_0376,EBC1,Mycophenolic acid,1.561813
TRAIN_0377,NCIH1651,Romidepsin,-6.666998
TRAIN_0378,K562,GSK2801,4.331079
TRAIN_0379,PANC0403,Linsitinib,5.171511
TRAIN_0380,TC71,AZD3759,2.786951
TRAIN_0381,GA10,Buparlisib,-0.09933
TRAIN_0382,NCIH520,WZ4003,6.001266
TRAIN_0383,FLO1,Sorafenib,3.922841
TRAIN_0384,NCIH838,Staurosporine,-4.423672
TRAIN_0385,MDAMB157,MG-132,-1.251659
TRAIN_0386,MOLT13,Lenalidomide,3.029993
TRAIN_0387,MOLT13,SGC0946,1.605731
TRAIN_0388,HCT116,ML323,4.527022
TRAIN_0389,D283MED,Elephantin,1.184257
TRAIN_0390,KS1,ABT737,3.209199
TRAIN_0391,OCIM1,JQ1,-1.714327
TRAIN_0392,OE33,IWP-2,3.470404
TRAIN_0393,RCC10RGB,5-azacytidine,4.807663
TRAIN_0394,WSUDLCL2,Afatinib,0.657641
TRAIN_0395,MOLP8,Methotrexate,-1.971662
TRAIN_0396,OE21,MK-1775,0.148453
TRAIN_0397,NCIH196,UMI-77,3.372589
TRAIN_0398,OCILY19,Serdemetan,1.887034
TRAIN_0399,EFO21,AZD1208,7.011454
TRAIN_0400,OC314,BI-2536,-4.648563
TRAIN_0401,CHP212,SCH772984,-2.241292
TRAIN_0402,SF126,Taselisib,1.005125
TRAIN_0403,NCIH1963,AZD2014,5.242612
TRAIN_0404,TE8,Bleomycin,3.759869
TRAIN_0405,KYSE180,glutathione,8.746403
TRAIN_0406,SNU175,Zoledronate,3.225748
TRAIN_0407,MDAMB157,GSK2110183B,4.255374
TRAIN_0408,TE5,GSK343,5.721655
TRAIN_0409,LN18,VE821,4.773658
TRAIN_0410,SKMEL5,Paclitaxel,-2.580589
TRAIN_0411,MFE296,Cytarabine,4.028165
TRAIN_0412,EN,Gallibiscoquinazole,3.839573
TRAIN_0413,KURAMOCHI,Schweinfurthin A,4.143164
TRAIN_0414,A172,Gallibiscoquinazole,2.740593
TRAIN_0415,SKGT4,Fludarabine,6.60981
TRAIN_0416,NCIH810,Epirubicin,-0.943843
TRAIN_0417,CADOES1,P22077,4.59108
TRAIN_0418,HS746T,Temsirolimus,2.031677
TRAIN_0419,OV17R,Irinotecan,3.481432
TRAIN_0420,EM2,Cediranib,1.827939
TRAIN_0421,RERFLCMS,Dinaciclib,-3.704599
TRAIN_0422,COLO679,PD0325901,-3.829524
TRAIN_0423,RT112,Wnt-C59,4.068736
TRAIN_0424,SNU175,Buparlisib,0.419382
TRAIN_0425,G401,Fulvestrant,3.314949
TRAIN_0426,EFM19,GSK591,4.717445
TRAIN_0427,A549,PLX-4720,3.429568
TRAIN_0428,AMO1,TW 37,-0.057069
TRAIN_0429,CAL29,WZ4003,5.41321
TRAIN_0430,HCC827,NVP-ADW742,3.89702
TRAIN_0431,SW1271,Selumetinib,2.756676
TRAIN_0432,RH41,AZD1208,4.83967
TRAIN_0433,T84,Rapamycin,-0.470126
TRAIN_0434,HS766T,Lestaurtinib,0.672228
TRAIN_0435,TOV112D,GDC0810,4.021211
TRAIN_0436,CAPAN1,Alpelisib,3.995403
TRAIN_0437,ST486,AZD2014,1.704512
TRAIN_0438,TE4,AZD3759 ,3.134394
TRAIN_0439,WSUDLCL2,Docetaxel,-6.588209
TRAIN_0440,A498,Sabutoclax,0.795582
TRAIN_0441,HCC1143,Dactolisib,-2.696021
TRAIN_0442,NCIH1436,ML323,4.438616
TRAIN_0443,MC116,Crizotinib,1.466773
TRAIN_0444,IM95,NVP-ADW742,2.948367
TRAIN_0445,KMH2,Uprosertib,2.936512
TRAIN_0446,NCIH209,AT13148,3.488149
TRAIN_0447,NMCG1,SCH772984,6.88052
TRAIN_0448,CFPAC1,Ruxolitinib,6.616678
TRAIN_0449,RPMI8402,Doramapimod,4.446867
TRAIN_0450,SKNDZ,Ulixertinib,3.057827
TRAIN_0451,PANC0203,Sapitinib,2.622768
TRAIN_0452,EKVX,Rucaparib,5.195663
TRAIN_0453,SNUC1,CPI-637,5.977269
TRAIN_0454,CORL311,Epirubicin,-1.27947
TRAIN_0455,T84,Pevonedistat,3.052292
TRAIN_0456,HT29,Tozasertib,0.939518
TRAIN_0457,SF539,AGI-5198,4.558671
TRAIN_0458,PANC0203,UNC0379,4.310257
TRAIN_0459,GDM1,Sinularin,3.941193
TRAIN_0460,SW1710,Fludarabine,6.892576
TRAIN_0461,NCIH1666,UNC0379,4.585781
TRAIN_0462,NCIH1781,AZD5582,0.6022
TRAIN_0463,FADU,Rapamycin,-1.035373
TRAIN_0464,RH41,MK-2206,-0.092979
TRAIN_0465,NCIH596,Axitinib,3.637134
TRAIN_0466,SKMEL5,MN-64,5.226776
TRAIN_0467,A101D,Romidepsin,-6.282112
TRAIN_0468,NCIH1975,Niraparib,5.083813
TRAIN_0469,DU4475,Refametinib,-3.311806
TRAIN_0470,NUGC3,Olaparib,4.739064
TRAIN_0471,COLO684,Taselisib,1.246631
TRAIN_0472,TE5,Vinblastine,-2.656088
TRAIN_0473,CAS1,Topotecan,2.088976
TRAIN_0474,OACM51,Wee1 Inhibitor,0.485734
TRAIN_0475,MDAMB453,BMS-754807,4.026896
TRAIN_0476,NCIH2066,CPI-637,6.8544
TRAIN_0477,NCIH1435,GW441756,2.931745
TRAIN_0478,RD,Afatinib,2.043976
TRAIN_0479,NCIH1155,Temozolomide,5.817879
TRAIN_0480,NCIH1341,CPI-637,5.237107
TRAIN_0481,OV56,SB216763,5.774061
TRAIN_0482,LK2,N-acetyl cysteine,10.82242
TRAIN_0483,RERFLCKJ,Lapatinib,2.960041
TRAIN_0484,LN229,Osimertinib,1.353568
TRAIN_0485,T47D,Fulvestrant,2.412515
TRAIN_0486,SNGM,TW 37,-0.207883
TRAIN_0487,IGROV1,Lenalidomide,5.108114
TRAIN_0488,BT549,AZD5991,4.786535
TRAIN_0489,SNU61,AZD5363,4.244142
TRAIN_0490,A172,AZD6738,1.3606
TRAIN_0491,MG63,ICL-SIRT078,5.856555
TRAIN_0492,MDAMB453,AZD5363,1.671585
TRAIN_0493,NCIH1836,Entospletinib,5.208919
TRAIN_0494,NCIH1836,Uprosertib,5.857042
TRAIN_0495,RD,5-azacytidine,3.179751
TRAIN_0496,SNGM,Ribociclib,3.09799
TRAIN_0497,SW1088,PCI-34051,5.425235
TRAIN_0498,LOUCY,Talazoparib,4.590814
TRAIN_0499,LU65,MIRA-1,5.576444
TRAIN_0500,HUPT4,Lestaurtinib,1.853554
TRAIN_0501,A172,Nilotinib,3.76172
TRAIN_0502,MESSA,Dabrafenib,5.251605
TRAIN_0503,ST486,SN-38,-4.422722
