cell_line_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
BXPC3,0.912948,-0.381559,0.62676,1.129666,-0.42646,-0.363784,1.522069,0.446317,0.20841,0.037465,-0.507492,-0.635988,0.939678,-1.611209,-1.025265,-1.245175,-0.771424,0.72559,-0.770163,-0.729131,1.05089,0.502946,1.209784,-1.454409,-0.709149,0.8258,-0.238609,0.07425,-0.746755,-0.401516,-1.209841,1.195656
C2BBE1,0.037811,-0.534179,0.686634,1.772498,0.520747,-0.753662,2.208618,0.727135,-0.535007,0.927122,-1.065053,-0.315,0.346216,-1.833331,-1.73024,0.616496,-1.419723,0.076059,-1.298508,-1.812781,1.27433,0.349111,0.783649,-1.833941,-1.007871,0.35627,-1.527134,0.724815,-0.551377,-1.074916,0.119754,2.911192
C32,0.186311,-0.330999,0.785395,1.677968,0.097008,0.772855,1.477995,0.362093,-1.155345,0.172717,-0.476242,0.435307,-0.018796,-1.785947,-1.71921,0.036447,0.258808,0.046277,-1.145416,-0.878826,1.794767,0.699399,0.358947,-1.592897,-0.244662,0.664379,-0.731464,0.626303,-0.062454,0.295308,0.094228,2.161686
CADOES1,0.259153,-0.02204,1.050132,0.642358,0.022781,-0.358214,1.103962,1.168723,-0.228368,0.397562,-0.999667,0.051793,0.489686,-0.238455,-1.344009,-0.278379,-0.574119,1.005544,-0.674146,-0.834919,1.315184,-0.062472,-0.176625,-0.885971,0.161215,-0.436726,-0.727652,-0.090845,0.183108,-0.96285,-0.694613,1.466599
CAKI1,1.201686,-0.149486,0.268655,2.225087,-0.92149,-1.296872,1.5519,0.39622,-0.906567,0.811768,-0.268942,-0.674831,-0.436084,-1.177414,-1.129679,-0.523816,0.069106,-0.270009,-1.528581,-1.537077,1.213321,-0.068748,-0.063665,-1.025591,-1.084897,0.815433,-1.011813,0.875508,-0.33521,-0.017635,-0.22259,1.786048
CAL148,0.602375,0.586354,0.464687,1.216148,-0.177339,0.587597,0.555235,1.334642,-0.285682,-0.408437,-0.198124,-0.60401,0.557211,-1.40874,-1.198955,-1.262882,-0.799157,-1.034156,-1.305661,-0.418796,1.222083,0.084997,-0.445284,-0.8299,-0.309783,-0.516428,0.100531,0.65123,-0.45029,-0.151581,-0.236221,0.027049
CAL27,0.227528,-0.438728,-0.042973,0.936047,0.733325,0.154915,0.830722,0.828774,0.367816,0.845841,-0.297765,-0.652683,0.52015,-1.155714,-0.771711,-0.079883,-0.191172,-0.045483,0.016834,-0.899527,2.073666,-0.50419,0.915716,-0.908168,-0.710521,-0.163534,-0.973786,0.477656,-0.163161,-0.493042,-0.437511,2.380471
CAL29,1.238292,0.113911,0.507356,1.208373,0.130208,-0.687934,1.062031,-0.25565,-0.15437,0.732686,-0.591008,0.435835,-0.430444,-2.174792,-1.188354,0.099587,0.078294,0.007499,-0.145306,-1.084125,1.018779,0.271596,0.377077,-1.86245,0.327808,0.773681,-1.180625,0.481176,-0.205864,-0.089599,-0.728837,1.060798
CAL51,0.34024,0.488099,0.732115,0.897117,0.219436,-1.590673,1.696736,-0.324438,-0.514878,-0.174235,-0.976694,0.249417,-0.061887,-1.186524,-1.249367,-0.1611,-0.681412,-0.418159,-0.147203,-1.250609,0.263352,-0.374518,0.798372,-0.587464,-0.561221,-0.095796,-0.978834,1.305384,-0.235909,0.007713,0.087506,1.435817
CAL78,0.336329,-0.227848,0.571643,1.409784,0.144211,-0.193616,1.847407,0.679391,-0.400986,-0.490253,0.023541,-0.263547,0.725933,-3.242524,-0.573551,-0.597144,-0.395806,-0.225232,-0.545216,-1.851257,1.062695,0.745268,-0.032009,-1.227504,-0.075523,0.351871,-1.004266,0.534834,0.63839,-0.302378,-0.463769,2.262512
CAL851,0.995809,0.47019,0.897073,0.786968,0.607862,-0.782012,1.559901,0.307378,-0.450818,0.648319,-0.252668,-0.204449,1.022675,-1.479789,-1.660624,-0.01949,-0.308662,-0.33351,-0.511215,-0.909122,1.158508,0.486472,-0.014796,-1.20802,-0.5721,0.106727,-1.57477,-0.384921,0.261511,-0.683658,-1.03239,0.57545
CALU6,0.153723,-0.793265,1.43804,1.955851,-0.567146,0.903163,1.995349,0.568695,-1.696956,1.662351,-1.13627,-1.266385,0.741795,-0.602846,-0.951139,-0.253719,-0.667515,0.726081,-0.485582,-1.204862,1.448378,-0.246387,-0.31265,-1.49765,-1.365095,0.056503,-1.590811,-0.193879,-0.482263,0.418114,-0.114069,0.979357
CAOV4,-0.085538,0.35646,0.042431,1.14261,0.082091,-0.677093,1.353908,-0.034672,-0.687515,0.606943,-1.178338,-0.163509,0.18955,-1.300236,-1.309319,0.218764,-0.771928,0.044227,-0.687033,-0.892043,1.232077,-0.165736,-0.295355,-1.505397,-1.149856,0.966185,-1.570313,-0.03689,-0.85411,0.207116,-0.643261,2.150088
CAPAN1,0.156033,0.002328,0.224883,2.583537,-0.826097,-0.077371,1.883588,0.968253,-0.558398,0.473351,-0.43784,-0.535541,0.721985,-0.792859,-1.989996,-1.242734,-1.048947,1.601612,-1.302667,-0.581555,2.292886,-0.500781,0.351485,-0.599261,-0.729633,0.008254,-1.432714,-0.134657,-0.920518,-0.901353,-0.579897,1.452615
CAS1,0.65156,-0.926777,0.862617,2.056166,-1.248912,-0.064999,2.313712,0.221253,0.33094,0.793526,-0.851333,-0.5292,0.539614,-2.021468,-1.587338,-1.065588,-1.005539,-0.368599,-1.033018,-1.972169,1.209871,0.375019,0.618343,-1.229042,-1.132134,-0.038806,-0.63239,0.475263,0.513132,-0.117323,-0.551657,1.839249
CCK81,0.405001,-0.170384,0.795088,1.515436,-0.552438,-0.825049,0.157239,0.776569,-0.871365,-0.706997,-0.121268,0.929368,0.161725,-0.883574,-1.133642,-0.432326,-0.230134,0.068845,-0.484609,-0.800838,0.663967,0.342282,-0.041498,-1.348034,-0.102434,-0.373703,-0.769661,0.251266,0.133952,0.038725,-0.422237,1.670164
CFPAC1,1.172311,0.146071,0.62743,0.807301,-0.757515,-0.377555,1.21244,0.643811,-0.422713,0.7861,-0.480468,-0.204189,0.264697,-2.825877,-2.126846,-0.61225,-1.577904,0.601871,-0.10699,-0.74746,1.30137,0.528453,0.13921,-1.53734,-0.829706,-0.044668,-1.299881,0.446152,-0.496764,-0.278716,-0.359608,2.374861
CHAGOK1,0.935861,-0.870795,-0.675732,1.88094,-0.900796,-0.329725,0.880876,-0.188605,-0.165067,0.883219,-0.718431,-1.727843,-0.048516,-1.580135,-2.340642,-0.430273,-0.947833,0.581351,-0.783099,-1.797531,1.9588,-0.288846,0.049032,-1.789182,-0.726974,-0.339435,-1.154903,1.204603,-1.243504,-1.077551,0.17704,1.614748
CHP126,0.009648,0.424146,0.14599,1.968346,0.176713,-0.406194,2.172925,0.228915,0.045739,0.525598,0.329758,0.458041,0.183663,-1.702463,-0.965247,-0.728479,0.304881,0.286017,-0.811851,-0.886276,0.342017,-0.642252,0.646999,-1.315686,-0.90067,0.345187,-0.204697,0.619806,0.081828,-0.580519,-1.127841,2.034151
CHP212,0.116778,-0.202833,1.026748,1.130883,0.096838,0.951404,0.562467,0.893619,-0.23436,0.438084,0.504759,-0.006852,0.404627,-0.535022,-1.148285,-0.734438,-1.089505,-0.807226,0.519687,-1.342375,0.710013,-0.264822,0.191513,-0.38987,0.125428,-0.229431,-0.72802,0.351649,-0.460653,0.640349,-0.091418,1.404559
COLO668,0.7578,0.468056,0.646461,0.658893,-0.001144,-0.526652,1.091226,0.951918,0.216163,0.476348,-0.243363,0.451343,0.328067,-0.341443,-1.197847,-1.363027,-0.492704,0.460317,-0.134536,-0.875675,1.188827,-0.805947,-0.046548,-1.648208,-0.757538,0.389501,-0.153015,0.51982,-1.113506,-0.028077,0.081834,1.285031
COLO679,0.385448,-0.118601,0.19753,1.711467,-0.273764,-0.003509,0.994758,0.480327,-0.066453,0.307801,0.441355,-0.624051,0.332746,-1.27651,-2.280409,-1.392592,-1.685415,0.91754,-1.103047,-0.007367,1.052934,-0.113384,0.832566,-0.294756,0.534874,0.705222,-0.536408,0.638486,-0.157941,-0.541296,-0.957194,1.685551
COLO680N,0.554048,-0.404524,1.181598,2.43739,-0.25709,0.437493,1.461185,0.890656,-0.962501,-0.235137,-0.637637,-0.660145,1.068066,-2.146481,-2.731607,0.203531,-0.692729,0.695402,-1.281629,-2.296982,1.6998,0.25386,1.029184,-1.061653,-0.944902,-0.417081,-1.410582,-0.400796,-0.61128,-0.449134,-1.007256,1.586041
COLO684,0.693375,-0.387874,-0.015688,-0.097501,-0.219561,0.680337,2.21864,0.44597,-0.713739,0.711257,-0.906502,-0.258446,0.595707,-1.068165,-1.566152,-0.596046,-1.329195,-0.13724,-0.911325,-1.057627,1.744989,-0.60003,0.805697,-1.38781,-0.489156,-0.276113,-2.223758,0.772233,-0.159495,-0.397041,-0.49536,1.885985
COLO792,-0.384268,-0.375036,0.914805,0.590154,-0.040371,-0.865428,1.495419,0.59556,-1.182799,1.016017,-0.737688,-0.777366,0.293676,-0.954892,-1.886571,-0.418575,-0.595109,0.597719,-0.637528,-1.312314,0.757641,-0.137382,-0.482097,-2.599421,-0.216824,0.540624,-2.101411,-0.204584,-0.17049,0.795608,-0.470524,1.116453
CORL311,0.242243,0.594553,0.112133,0.623571,-0.398675,-0.633957,1.122246,1.3279,-0.153852,0.238314,-0.457228,-1.094471,0.604104,-1.324255,-1.249035,1.218811,-0.531041,-0.164785,-0.823187,-0.374559,1.041254,-0.870815,0.50498,-1.291214,0.570934,0.614542,-0.996895,0.892901,-0.36958,0.230428,-0.161858,0.821177
CORL88,0.166549,0.379051,0.469361,1.295481,-0.70776,-0.018383,2.583802,0.220706,-0.449435,1.239506,-0.495411,-0.231677,-0.293321,-1.66681,-1.789355,-0.059925,-0.402031,1.603721,-0.60287,-1.225551,1.538085,-0.398546,0.23563,-1.548384,-0.450957,0.767848,-1.634824,0.939292,0.068064,-0.345801,-1.652471,1.517081
CORL95,1.129158,-0.14523,0.127105,1.22142,0.193724,0.046797,1.408708,0.55922,-0.650181,0.06382,0.359247,-0.611838,0.842722,-1.090787,-1.170015,-0.759925,-0.778232,0.291993,-1.330529,-1.20448,0.828761,0.37536,-0.166963,-1.278122,-0.385145,-0.022115,-0.820448,0.126104,-0.145578,-0.955256,-0.51907,2.761879
D283MED,-0.272338,-0.40229,0.554029,0.788359,0.067916,0.137202,1.041699,0.906849,-0.010425,0.128227,0.123731,0.736325,0.044664,-1.364829,-0.237628,-0.318095,-1.55089,0.567847,-0.684148,-0.693048,0.83824,-0.008307,0.385699,-0.871233,0.006861,-0.078896,-0.158521,0.480005,-0.743214,0.4092,-0.543967,1.253614
DB,0.465481,0.84064,0.255767,0.689513,-0.142569,-0.28444,1.296021,-0.372711,-0.793222,-0.226051,0.212209,0.59105,0.085066,-1.170012,-0.943697,0.261896,-1.03836,0.297489,-0.027617,-0.550798,0.926404,0.372417,-1.3133,-0.469469,-0.635922,-0.852379,-0.397476,0.900001,-0.409528,0.310929,0.464729,1.708445
DEL,0.936797,0.338547,0.190037,-0.442805,-0.178098,-0.476686,1.456862,0.092538,-0.048806,0.403339,-0.087183,0.737998,-0.254421,-0.352651,-0.776892,-0.792247,-0.544077,0.055385,-0.428195,-0.678348,-0.358475,-0.09465,-0.736479,0.044963,-0.086805,-0.70269,-0.425289,-0.287724,0.018332,0.601626,-1.079092,0.493122
DMS273,0.253033,0.242949,0.540942,0.645369,-0.316552,-0.555027,1.597034,0.525302,0.635763,0.333514,-0.664974,-1.069178,-0.739308,-2.075126,-1.023177,-0.122711,-1.469806,0.658255,-0.850457,-0.873703,1.788984,0.297013,-0.08898,-1.401041,-1.440974,-0.285191,-0.877429,-0.241644,-0.468421,-0.157186,-0.515936,0.917148
DMS53,0.587347,0.080951,0.110711,2.24783,-0.28642,-0.227684,1.953367,0.893785,0.001134,0.693009,-0.775519,-0.29089,-0.326829,-1.883288,-1.763429,-0.673484,-1.089957,-0.622688,-1.193913,-1.383809,1.564182,-0.74248,0.701239,-1.875922,-0.066565,0.325928,-1.488718,1.268123,-1.205082,0.164181,-0.109054,1.540481
DMS79,1.136194,-0.24749,0.718032,1.479174,-0.274554,0.198019,1.795521,-0.194516,0.236337,-0.350677,0.105804,0.150836,-0.331167,-1.900082,-2.080686,-0.605503,-1.051125,0.668173,-0.149121,-0.553096,1.017104,-0.304591,-0.781906,-1.664896,0.000243,0.90604,-1.636659,0.03654,-0.545214,-0.118285,-0.937759,1.852673
DOHH2,-0.169764,-0.025919,0.360709,0.209124,-0.24985,-0.08646,0.169327,-0.081249,-0.192871,0.872677,0.217806,-0.210707,0.38119,-0.425584,0.353354,0.1088,-0.190585,0.266345,-0.908202,-0.754326,-0.398808,0.040947,0.875387,0.923025,0.245425,0.265419,-1.056143,-0.220543,-0.475098,-0.349861,-0.165422,0.014382
DU4475,-0.802268,0.321796,-0.292035,0.694176,0.948709,-0.548019,-0.669396,0.146508,0.373374,1.183851,-0.789596,0.072656,-0.141377,-0.774746,0.671458,-0.963604,-0.255214,0.352394,0.200347,-0.483791,0.706931,-0.280997,0.160038,-0.709073,0.105421,-0.14296,-0.245654,0.127098,0.336438,-0.135736,-1.113506,1.32972
EBC1,-0.054999,-0.437633,0.220967,1.907163,-1.255394,1.381331,1.792975,0.726333,-0.403495,0.577367,-0.110636,-0.050441,0.471614,-1.487744,-1.480325,-0.526028,-0.90873,0.818597,-0.430547,-2.601447,1.501932,-0.083478,0.044736,-1.33548,0.126007,0.562612,-1.308383,0.50446,-0.966939,-0.923455,-0.795325,1.914868
ECC10,0.803627,0.165502,0.789023,1.260938,-0.474921,0.061792,1.440048,0.882468,0.285328,0.711404,-0.129416,0.228412,0.146061,-1.700749,-1.217317,-0.742693,-1.004494,0.134659,-0.994104,-1.083921,0.018259,-0.042017,0.045067,-1.346679,-0.02883,0.541823,-1.561659,-0.133982,-0.780066,-0.662019,0.01854,1.122732
ECC12,0.291629,-1.119923,0.870435,0.680097,-0.169856,-0.06112,2.028001,0.000505,-1.910397,0.554936,0.504783,0.222028,0.311316,-1.878577,-1.068452,-0.966619,-0.626153,0.520908,-0.244786,0.174596,1.446966,-0.447155,0.04484,-2.100392,-0.811923,-0.109982,-1.244281,0.396791,-0.923784,0.311589,-0.513382,1.57605
EFM19,0.292298,-0.049404,1.007468,0.965378,-0.544134,-0.366924,0.777613,0.29528,-0.669335,0.93555,-0.294381,-0.33099,0.647698,-1.826085,-1.38915,-0.568087,-0.797631,-0.002735,-2.053453,-1.364378,2.057611,0.255726,0.544725,-0.690604,-0.455701,0.200543,-1.366044,0.187052,-0.243817,0.334014,-0.622407,1.476272
EFO21,0.71138,0.102659,0.205329,1.03234,-0.610492,-0.945556,2.006794,1.0248,-0.898743,1.502984,-0.500075,-0.51652,0.657506,-3.308545,-1.949906,-0.842876,-1.114769,-0.08604,-2.076843,-1.612966,2.286486,-0.774256,-0.338155,-1.477009,-1.374066,0.980138,-2.098119,0.85706,-1.024208,-0.116007,-1.133484,2.570399
EJM,0.399734,-0.606668,0.864966,0.906328,-0.293092,-0.675954,-0.075332,0.490474,0.847833,0.806583,-0.363481,-0.487061,0.195987,-1.187358,-1.907497,0.127817,-0.415674,0.599042,-0.474099,-1.06858,1.455552,0.123512,-0.125458,-1.374691,-0.364744,0.859207,-1.498414,-0.446892,-0.376247,-0.197284,-0.372772,1.536315
EKVX,0.518361,0.569577,0.020985,1.517348,-0.348595,-1.118541,1.914924,1.804041,-0.584972,0.803457,-1.217816,-0.898847,0.119273,-2.585393,-1.546821,-0.434281,-1.840262,0.5218,-0.902499,-1.221093,2.649093,-0.79389,-0.319785,-2.435739,-0.807428,0.373858,-0.966091,0.438507,-0.921689,-0.294064,-1.180692,3.393939
EM2,-0.559433,0.02434,1.330484,0.752773,-0.21023,-0.293925,0.686821,1.064024,-1.336926,1.033672,-0.939993,-0.362478,-0.09557,-0.647111,-1.64777,-0.045575,0.513813,-0.526968,-0.35192,-1.025884,0.934084,-0.101514,-0.287518,-0.45708,0.634322,-0.040875,-0.206442,-0.461783,-0.773749,0.092682,0.446001,1.08918
EN,0.353405,-0.142298,0.039722,1.865822,0.200781,-0.466414,1.386221,0.920799,-0.700329,0.523934,0.57411,-0.601638,0.069232,-2.287972,-1.398729,-0.667864,-1.364473,0.983263,-0.222389,-1.750103,0.571386,0.271972,-0.272989,-1.067354,-1.543923,0.560173,-1.787212,0.751079,-0.609488,-0.776427,-0.821239,2.244734
EPLC272H,0.401166,0.195277,1.442279,0.285592,0.644454,-0.111963,0.657708,-0.12715,-0.423683,0.841184,-0.388651,0.42908,-0.555961,-1.34734,-1.835442,-0.212373,-0.266597,0.009921,-1.938673,-0.890615,1.245855,0.043868,0.665231,-1.53434,-0.041529,0.674016,-1.696192,0.423207,-0.673165,-0.245252,-0.247985,1.054916
ESO26,0.14107,-0.116236,0.080868,0.925568,0.11392,-0.800148,1.855808,0.971244,-1.315563,0.184345,0.150235,-0.939632,0.001094,-1.613724,-1.271443,-0.667918,-1.275311,1.014177,-0.006052,-0.872292,1.455814,-0.621823,-0.350113,-1.112462,-0.315686,0.807749,-0.784545,-0.389298,-0.053152,-0.780277,-0.772142,1.911037
ESS1,1.270634,1.479023,0.659078,0.744864,0.138654,0.315238,0.706984,1.319088,-0.142804,0.546851,0.078449,-0.04499,0.552358,-1.359418,-1.226492,-0.858891,-0.336506,0.562056,-0.269809,0.061596,0.80215,0.210372,-0.508763,-0.976035,0.048789,0.485471,-0.77912,0.170537,-1.088813,-0.338715,0.114729,1.304891
FADU,0.626616,-0.079855,0.494185,0.823603,0.172032,0.033117,1.442335,0.318349,-1.43232,0.95959,-0.590479,-0.784199,0.530037,-1.645403,-0.776735,-0.117455,-0.425481,-0.444921,-0.081897,-0.939259,0.925657,-0.099342,-0.836962,-0.874985,-0.92708,-0.592306,-1.633109,0.840952,-0.769643,0.545893,-0.723721,0.549505
FLO1,-0.194716,0.51671,0.396095,0.840564,-0.091368,0.079526,1.714528,1.285936,-0.523493,-0.265923,-0.545909,-0.210728,-0.304787,-1.878908,-1.090576,-0.435865,-0.724894,-0.14925,-0.779785,-1.495784,1.51781,0.352379,-0.87367,-1.507531,-1.146699,-0.243828,-0.884133,-0.449849,-0.900538,-0.71547,-0.336756,1.390357
G361,0.018528,-0.017198,0.221373,1.027484,0.657876,0.491393,0.556434,1.001044,0.047107,-0.159717,0.055424,0.413235,-0.376458,-1.920142,-0.808686,-0.293735,-0.497876,0.410321,-0.498213,-1.741973,1.643142,0.412344,-0.063116,-1.109981,-1.181361,0.341852,-0.593116,0.255868,0.1034,-0.389838,-0.177289,0.904964
G401,0.270681,-0.165801,0.480963,0.681309,-0.198888,0.279881,0.679639,-0.366886,0.607825,0.999254,-0.909654,0.080016,-0.113895,-0.956245,-0.833764,-0.436949,-0.96783,-0.166573,-0.974445,-1.219019,0.799854,-0.486268,0.379426,-0.066561,-0.59959,0.182778,-0.404671,0.449642,-0.303576,0.205469,-0.101037,0.434469
G402,0.753936,0.35475,0.034782,0.998187,0.191118,-0.255193,1.551829,1.675351,-0.694837,-0.341688,-0.146041,0.061345,0.040134,-0.503496,-1.778323,-0.015058,-0.954121,1.061731,0.412452,-1.291356,0.667547,0.284633,-0.150149,-0.938734,-0.337312,-0.88852,-0.74694,-0.103312,-0.632737,0.534274,-1.015115,1.597508
