drug_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
Dabrafenib,0.139885,-1.896774,0.605157,-1.594931,0.445624,-3.775656,-1.195169,0.007943,0.291402,0.692678,-0.161724,0.217762,-1.697635,-0.933893,-0.673492,1.611706,0.238667,-2.711719,0.725065,-0.571427,-0.860711,1.337607,1.279548,1.214737,-1.387704,-0.185463,0.604331,1.714989,-0.910719,-0.469579,-1.038075,-1.424538
Dacarbazine,-0.475878,-1.131013,0.538355,-1.667342,-0.280267,-2.362943,-3.012864,0.908218,1.204929,0.105786,-0.102393,-0.191992,-2.946372,-1.622225,-0.452266,0.929626,0.287547,-1.453792,0.062702,-0.075708,-1.434899,1.286381,2.066408,2.135488,-1.515833,0.472821,0.264152,1.762792,-0.685698,-0.874179,-2.009252,-1.937167
Dactinomycin,-0.201461,2.364545,-1.309025,1.910249,0.202311,2.112765,1.004041,-0.597064,-1.057753,-1.078233,-0.376641,-0.415547,2.272195,1.087858,0.891241,-0.84903,-0.288194,2.637349,-0.65593,0.469863,1.105729,-1.32223,0.433104,-0.993045,0.978742,0.962902,0.099163,-1.036169,0.583368,-0.551254,0.918445,1.552493
Dactolisib,0.227638,1.056634,-0.407129,-0.178796,0.440284,1.544465,1.009237,-0.164836,0.210771,1.642187,0.106347,-0.528889,0.330371,0.616306,-0.608144,-0.361102,0.04526,1.51106,0.518427,0.594687,-0.795872,0.202574,-0.08203,-0.264762,-0.511201,-0.257988,-0.72311,-1.418905,0.200617,-0.320616,1.77921,0.420071
Daporinad,0.661241,0.341103,-1.140425,1.347712,-0.676357,1.874447,1.304525,-0.32646,0.141658,0.006737,0.362832,0.590272,1.879807,0.724639,0.329854,-1.041617,0.212712,2.439407,-0.4651,0.79374,0.623111,-0.634031,-1.333987,-1.081923,1.563789,0.375285,-0.284901,-1.761817,0.355332,0.076927,0.762828,1.283877
Dasatinib,-0.220303,-0.407586,0.408822,-0.994493,-0.110968,-0.790573,0.030111,0.211664,-0.018476,0.272019,0.804836,0.330937,-0.351892,0.058184,0.525052,0.985148,0.428787,-0.211732,-0.403685,-0.914085,-0.207899,0.293179,0.164326,0.80701,-1.286558,-0.398233,-0.102299,-0.405336,0.544597,-0.758165,-0.76233,-0.0522
Dihydrorotenone,0.319924,-0.79693,0.530095,-0.135405,1.214471,-0.247956,-0.375563,-0.383053,-0.202575,-0.37354,0.658997,-0.060146,-0.056835,0.591853,-1.284991,0.882145,0.106591,-0.187257,-0.339794,-0.465974,0.089006,1.332735,0.738367,0.846577,-0.288679,-0.371095,-0.314347,-0.020159,-1.136406,-0.405086,-0.534183,-0.36232
Dinaciclib,0.076356,1.002574,-0.646197,0.657305,-1.143869,1.234096,0.545156,0.080164,-0.118801,0.336212,0.468281,0.167054,0.887145,0.185432,-0.396048,-0.324964,-0.354187,0.74589,-0.664908,-0.134457,0.547165,0.058747,-0.974601,-1.849437,0.557091,0.162017,-0.369697,-1.071274,0.480815,0.177241,0.846691,1.135216
Docetaxel,-0.201625,0.798306,-0.119953,1.481924,0.207791,2.54287,1.570925,0.270332,-1.51689,-0.066681,0.022527,1.135359,1.919822,0.393656,0.640019,-0.957178,-0.111218,1.226762,-0.139139,0.26514,0.807835,-0.964551,-1.307825,-0.330173,0.30066,-0.184375,-0.352008,-1.346629,0.02936,0.235369,0.336949,0.674003
Doramapimod,1.006391,-1.389057,0.885598,-1.659356,0.603325,-2.502008,-2.096326,0.789539,0.110977,-0.26588,-0.09506,-0.296013,-2.718724,-0.97199,-1.016914,1.479414,1.038284,-2.24381,-0.00253,-1.117982,-1.241595,0.922779,1.248964,1.945617,-1.110702,-0.270198,-0.126281,2.076687,-2.143446,0.132882,-1.226056,-2.046958
EHT-1864,0.621541,-1.200255,0.940078,-1.179193,1.824069,-1.493099,-1.116999,-0.238883,0.887755,-0.217211,0.283271,-0.262468,-2.195937,-0.754822,-0.933686,1.243664,-0.049861,-1.934308,0.733328,-0.452018,-0.943402,0.777503,1.487783,0.475416,-0.796956,0.31711,0.652854,1.106795,-0.20959,0.021106,-0.845632,-2.333701
EPZ004777,-0.797923,-1.158517,0.539009,-1.716331,0.151955,-3.575381,-1.910836,0.40965,2.214791,-0.043305,0.538452,-0.296614,-2.652246,-0.730754,-0.440476,1.677929,0.672734,-3.06701,0.096018,-0.224977,-1.174946,0.920479,1.758898,1.595041,-2.032493,0.157567,0.580777,1.43058,-0.537028,-0.173271,-1.353755,-1.609421
EPZ5676,0.336042,-1.117601,1.836242,-2.149894,-0.207372,-2.488257,-2.370486,0.097178,0.383532,0.459751,-0.121611,-1.268007,-2.279847,-1.469421,0.564254,1.50742,0.364927,-3.426205,1.188346,-0.839204,-1.510018,1.39043,1.057639,1.89132,-0.531995,-0.240892,0.880528,2.088836,0.042528,0.290206,-1.655694,-1.575939
Elephantin,-0.457784,-0.772914,0.400138,-1.523644,-1.312009,-1.950436,-1.7799,0.771669,1.005719,0.750161,-0.668747,0.188668,-0.570061,-0.408101,-0.110473,1.245213,0.114859,-1.554711,-0.397291,-0.631586,-1.628593,0.319615,1.452761,1.274973,-0.895761,-0.254225,-0.579301,0.884585,-0.86667,-0.53333,-0.914646,-1.743342
Entinostat,-0.311077,-1.728191,0.385372,-1.334171,0.174799,-1.744048,-0.807463,0.055085,1.31403,0.359536,-0.994678,-0.827349,-0.929443,-0.930879,-1.782356,1.359048,0.582536,-0.880727,-0.093882,-0.035425,-0.790352,0.498367,0.207074,1.360962,-1.328344,0.415989,0.233885,0.386737,-0.226668,0.246497,-0.032757,-0.617733
Entospletinib,-0.460445,-1.155298,1.828462,-0.691748,0.688008,-1.794165,-1.13593,0.799578,0.597705,-0.485857,-0.094858,-0.745593,-2.181326,-1.165328,0.727405,1.250517,0.565312,-2.583247,-0.559369,-0.840264,-0.03808,0.851334,1.452532,1.410976,-1.23439,0.34811,0.054134,1.794322,-0.314834,-1.102193,-1.611507,-2.230498
Epirubicin,0.584588,0.218532,-1.293734,0.454386,-0.314177,-0.314104,1.128928,0.010668,-0.307924,-0.237122,-0.731394,-0.586543,0.965222,-0.079798,0.111592,-1.252937,-0.734058,0.689781,0.118108,0.960752,0.819251,-0.248885,0.011408,-0.361602,1.210607,0.642009,0.012527,-0.112766,0.82703,0.330319,1.020829,-0.83569
Erlotinib,0.219222,-1.150448,1.572434,-0.257218,0.192703,-0.886187,-0.22946,0.203358,1.859248,0.128968,-0.20487,0.178798,-1.424799,-0.564894,0.315928,0.901843,-0.557488,-1.304383,-0.074613,0.107618,-0.223242,1.251968,1.323951,1.331142,-1.042866,0.141012,1.263819,0.479056,0.495436,-0.431375,-1.359756,-0.861523
Fludarabine,0.338668,-1.055539,0.694492,-1.527252,-0.044322,-3.544727,-2.362277,-0.094146,1.316028,0.820983,-0.901859,-0.254281,-2.70108,-0.714077,-0.969594,0.984908,0.890845,-2.812753,0.305117,-1.660257,-0.49401,1.284508,1.475973,0.56696,-0.594513,-0.77498,0.246681,2.550025,-1.036533,0.105808,-1.299849,-1.514231
Foretinib,0.13707,-0.119824,0.375506,-0.381484,0.816465,-1.22701,0.123945,0.4685,0.56425,0.608394,-0.079978,-1.022172,-0.46671,-0.705225,-0.500073,-0.313363,-0.138607,-0.811731,-1.094408,0.23797,0.913033,0.481246,0.198778,0.243827,-0.454883,-0.045026,0.077964,-0.136433,0.701903,-0.797643,0.036987,-0.398949
Fulvestrant,0.93508,-1.031397,0.754668,-1.511043,0.257276,-2.798081,-1.892593,-0.668787,0.377598,0.241671,0.018682,-1.331795,-1.748584,-0.536222,-0.604859,0.884266,0.184357,-2.273645,0.049877,-0.35064,0.384688,0.32317,1.012407,1.032323,-1.297242,0.197774,-0.809043,0.842939,-0.135307,-0.358003,-1.667498,-1.138818
GDC0810,0.432517,-1.513262,0.858103,-1.640114,0.118592,-2.626224,-1.290849,-1.001538,1.185584,-0.605628,1.043922,-0.694831,-1.889346,-1.119212,-1.106442,1.156652,1.318667,-2.219952,1.467727,-0.561552,-0.891911,0.802432,1.434163,0.904163,-1.242221,-0.867801,0.727876,1.577849,-0.589423,0.553457,-1.711846,-1.452151
GNE-317,1.022729,0.416223,0.760958,-0.426995,0.161638,-1.098397,-0.048255,0.181356,0.177219,0.552009,-0.62981,0.749939,0.119473,-0.19667,-0.177617,0.477259,0.837447,-0.34438,0.144659,-0.077257,0.73928,-0.047335,0.216344,0.940464,-0.114605,0.49922,-0.381388,0.116022,0.63481,-0.379785,-0.323634,-0.139786
GSK-LSD1,-0.505334,-1.04983,0.711832,-0.94959,0.806626,-0.790998,-1.486518,0.21252,0.925633,0.894743,0.267081,-0.094503,-0.845013,-0.236784,-0.830956,0.938856,1.003421,-1.508704,0.322997,-0.428143,-1.696392,0.49776,0.972534,0.485922,-1.246119,-0.686725,0.646089,1.763707,0.309347,-0.820131,-0.454362,-1.284878
GSK1904529A,-0.308962,-1.628104,1.439522,-1.13297,0.22687,-2.629038,-1.522252,0.544029,1.563544,-0.415828,-0.142745,-0.931736,-1.978431,-1.06392,-0.631826,0.996467,-0.289764,-3.375995,0.362488,-0.724151,-1.232106,1.469229,0.932115,1.938533,-0.29659,-1.383885,0.483752,1.088737,-2.088837,-0.967555,-1.073875,-0.570454
GSK2110183B,0.438054,-0.879301,0.798975,-0.36036,1.279707,-2.222348,-2.307343,-0.855321,1.387822,0.145151,-0.022213,-1.191706,-1.831922,-0.856292,-0.349493,0.841242,-0.180435,-2.127665,0.923161,-0.256649,-0.360224,0.152643,-0.462086,0.655118,-1.259337,-0.129855,1.968928,1.307824,0.896323,0.101638,-1.403922,-1.003483
GSK2578215A,0.870058,-0.672968,0.947068,-1.706038,-0.401105,-2.529362,-1.217087,0.315412,0.774833,0.437309,0.035128,-0.41142,-2.130078,-1.167478,-0.193496,1.954979,0.02426,-3.151826,0.359301,-0.209635,-0.942111,0.596623,1.678411,1.232556,-0.819521,-0.297635,0.339626,1.580168,-0.061773,-0.563511,-1.459411,-1.830877
GSK2606414,0.197984,-1.542525,1.000219,-0.84876,-0.228533,-2.916238,-2.171729,-0.35915,1.146113,-0.506039,-0.28182,-0.036804,-1.490398,-1.019835,-0.433783,1.268139,0.282675,-2.131038,1.490066,-0.03778,0.462585,0.454295,1.142069,0.403919,-1.368991,0.595691,0.119583,2.08048,-1.172222,-0.740045,-1.441724,-1.40624
